;files;Glasses?;forehead_up;forehead_ey;nose;eye_brows;hair_style;hair_type;facial_hair;jaw;ears;cheek_lines;mouth;eye_lines;face_shape
109;.\database\CHICAGO_MIX\C_FACE_MIX_0109.jpg;N;Long;Wide set;Funnel;Angled;Bob;Wavy;clean shaven;fat;narrow;no dimples;full;round;round
110;.\database\CHICAGO_MIX\C_FACE_MIX_0110.jpg;N;Oval;Wide set;Upturned;Angled;Bob;Curly;clean shaven;diamond;narrow;no dimples;full;round;square
111;.\database\CHICAGO_MIX\C_FACE_MIX_0111.jpg;N;Round;Wide set;Button;Rounded;Bun;Curly;clean shaven;fat;round;no dimples;natural;round;round
112;.\database\CHICAGO_MIX\C_FACE_MIX_0112.jpg;N;Long;Wide set;Button;Soft Angled;Bun;Coily;clean shaven;oval;narrow;no dimples;full;almond;diamond
113;.\database\CHICAGO_MIX\C_FACE_MIX_0113.jpg;N;Long;Wide set;Button;Angled;Bun;Wavy;clean shaven;diamond;narrow;no dimples;full;round;square
114;.\database\CHICAGO_MIX\C_FACE_MIX_0114.jpg;N;Long;Close Set;Funnel;Rounded;Bun;Coily;clean shaven;fat;round;no dimples;natural;almond;round
115;.\database\CHICAGO_MIX\C_FACE_MIX_0115.jpg;N;Round;Close Set;Button;Curved;Bob;Straight;clean shaven;fat;narrow;no dimples;thin upper;round;round
116;.\database\CHICAGO_MIX\C_FACE_MIX_0116.jpg;N;Long;Close Set;Upturned;Flat;Bob;Wavy;clean shaven;diamond;sticking out;no dimples;thin upper;round;diamond
117;.\database\CHICAGO_MIX\C_FACE_MIX_0117.jpg;N;Long;Wide set;Funnel;Angled;Bun;Straight;clean shaven;fat;round;no dimples;full;almond;round
118;.\database\CHICAGO_MIX\C_FACE_MIX_0118.jpg;N;Long;Close Set;Aquiline;Soft Angled;Medium length;Wavy;clean shaven;diamond;sticking out;no dimples;full;round;heart
119;.\database\CHICAGO_MIX\C_FACE_MIX_0119.jpg;N;Oval;Wide set;Funnel;Angled;Bun;Curly;clean shaven;diamond;sticking out;no dimples;natural;round;heart
120;.\database\CHICAGO_MIX\C_FACE_MIX_0120.jpg;N;Round;Close Set;Button;Soft Angled;Bun;Wavy;clean shaven;fat;round;no dimples;thin upper;round;round
121;.\database\CHICAGO_MIX\C_FACE_MIX_0121.jpg;N;Square;Close Set;Upturned;Curved;Pony Tail;Straight;clean shaven;oval;round;no dimples;thin upper;almond;oval
122;.\database\CHICAGO_MIX\C_FACE_MIX_0122.jpg;N;Square;Wide set;Button;Soft Angled;Bun;Straight;clean shaven;fat;sticking out;no dimples;natural;round;round
123;.\database\CHICAGO_MIX\C_FACE_MIX_0123.jpg;N;Long;Wide set;Snub;Angled;Bob;Curly;clean shaven;diamond;sticking out;no dimples;thin upper;almond;heart
124;.\database\CHICAGO_MIX\C_FACE_MIX_0124.jpg;N;Round;Close Set;Funnel;Rounded;Short womens;Straight;clean shaven;fat;X;no dimples;small;downturned;round
125;.\database\CHICAGO_MIX\C_FACE_MIX_0125.jpg;N;Oval;Wide set;Upturned;Soft Angled;Short womens;Wavy;clean shaven;oval;narrow;no dimples;full;round;oval
126;.\database\CHICAGO_MIX\C_FACE_MIX_0126.jpg;N;Long;Close Set;Upturned;Angled;Bob;Wavy;clean shaven;fat;sticking out;no dimples;natural;almond;round
127;.\database\CHICAGO_MIX\C_FACE_MIX_0127.jpg;N;Long;Wide set;Funnel;Angled;Bun;Straight;clean shaven;fat;round;no dimples;full;round;round
128;.\database\CHICAGO_MIX\C_FACE_MIX_0128.jpg;N;Long;Wide set;Button;Rounded;Short womens;Coily;clean shaven;fat;narrow;no dimples;full;monolid;round
129;.\database\CHICAGO_MIX\C_FACE_MIX_0129.jpg;N;Long;Close Set;Button;Soft Angled;Bob;Straight;clean shaven;diamond;X;no dimples;full;round;round
130;.\database\CHICAGO_MIX\C_FACE_MIX_0130.jpg;N;Round;Close Set;Upturned;Curved;Short womens;Wavy;clean shaven;diamond;sticking out;no dimples;natural;almond;square
131;.\database\CHICAGO_MIX\C_FACE_MIX_0131.jpg;N;Round;Wide set;Button;Angled;Bun;Coily;clean shaven;diamond;sticking out;no dimples;full;round;heart
132;.\database\CHICAGO_MIX\C_FACE_MIX_0132.jpg;N;Long;Wide set;Snub;Soft Angled;Bob;Coily;clean shaven;trianagle;round;no dimples;thin upper;round;oval
133;.\database\CHICAGO_MIX\C_FACE_MIX_0133.jpg;N;Long;Close Set;Upturned;Angled;Pony Tail;Wavy;clean shaven;fat;sticking out;no dimples;thin upper;almond;oval
134;.\database\CHICAGO_MIX\C_FACE_MIX_0134.jpg;N;Square;Wide set;Funnel;Angled;Pinned back;Wavy;clean shaven;fat;sticking out;no dimples;full;round;round
135;.\database\CHICAGO_MIX\C_FACE_MIX_0135.jpg;N;Long;Wide set;Button;Angled;Bob;Coily;clean shaven;fat;round;no dimples;full;almond;round
136;.\database\CHICAGO_MIX\C_FACE_MIX_0136.jpg;N;Round;Close Set;Button;Soft Angled;Bob;Straight;clean shaven;trianagle;X;no dimples;full;almond;heart
137;.\database\CHICAGO_MIX\C_FACE_MIX_0137.jpg;N;Round;Wide set;Upturned;Curved;Short womens;Wavy;clean shaven;oval;X;no dimples;full;upturned;oval
138;.\database\CHICAGO_MIX\C_FACE_MIX_0138.jpg;N;Long;Close Set;Button;Soft Angled;Bob;Coily;clean shaven;fat;sticking out;no dimples;thin upper;almond;round
139;.\database\CHICAGO_MIX\C_FACE_MIX_0139.jpg;N;Round;Close Set;Button;Angled;Bob;Coily;clean shaven;fat;sticking out;no dimples;full;round;round
140;.\database\CHICAGO_MIX\C_FACE_MIX_0140.jpg;N;Round;Close Set;Funnel;Angled;Bob;Wavy;clean shaven;fat;sticking out;no dimples;full;upturned;round
141;.\database\CHICAGO_MIX\C_FACE_MIX_0141.jpg;N;Long;Wide set;Funnel;Angled;Bob;Coily;clean shaven;oval;sticking out;no dimples;full;round;oval
142;.\database\CHICAGO_MIX\C_FACE_MIX_0142.jpg;N;Square;Wide set;Button;Soft Angled;Short womens;Wavy;clean shaven;diamond;narrow;no dimples;natural;round;heart
143;.\database\CHICAGO_MIX\C_FACE_MIX_0143.jpg;N;Oval;Close Set;Upturned;Curved;Pinned back;Wavy;clean shaven;oval;narrow;no dimples;full;almond;diamond
144;.\database\CHICAGO_MIX\C_FACE_MIX_0144.jpg;N;Round;Wide set;Funnel;Soft Angled;Medium length;Wavy;clean shaven;fat;sticking out;no dimples;natural;downturned;round
145;.\database\CHICAGO_MIX\C_FACE_MIX_0145.jpg;N;Oval;Close Set;Snub;Soft Angled;Bun;Curly;clean shaven;trianagle;round;no dimples;natural;round;diamond
146;.\database\CHICAGO_MIX\C_FACE_MIX_0146.jpg;N;Oval;Wide set;Button;Rounded;Bun;Coily;clean shaven;diamond;sticking out;no dimples;full;upturned;heart
147;.\database\CHICAGO_MIX\C_FACE_MIX_0147.jpg;N;Round;Wide set;Snub;Angled;Bun;Straight;clean shaven;oval;sticking out;no dimples;natural;upturned;oval
148;.\database\CHICAGO_MIX\C_FACE_MIX_0148.jpg;N;Round;Wide set;Upturned;Angled;Bun;Coily;clean shaven;diamond;round;no dimples;full;round;square
149;.\database\CHICAGO_MIX\C_FACE_MIX_0149.jpg;N;Round;Wide set;Funnel;Angled;Bun;Straight;clean shaven;fat;pointed;no dimples;natural;round;round
150;.\database\CHICAGO_MIX\C_FACE_MIX_0150.jpg;N;Round;Wide set;Upturned;Curved;Bun;Coily;clean shaven;fat;sticking out;no dimples;full;downturned;round
151;.\database\CHICAGO_MIX\C_FACE_MIX_0151.jpg;N;Square;Close Set;Button;Flat;Bob;Curly;clean shaven;oval;narrow;no dimples;full;round;square
152;.\database\CHICAGO_MIX\C_FACE_MIX_0152.jpg;N;Long;Wide set;Button;Angled;Medium length;Straight;clean shaven;oval;narrow;no dimples;natural;downturned;round
153;.\database\CHICAGO_MIX\C_FACE_MIX_0153.jpg;N;Round;Close Set;Funnel;Soft Angled;Medium length;Straight;clean shaven;oval;round;no dimples;thin upper;almond;round
